"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11708","БАГ #1: Twitter share button не работает","chromium","Sun Aug 10 12:59:09 CEST 2025","passed","Sun Aug 10 12:59:20 CEST 2025","","academybugs.spec.js","",""
"","19400","БАГ #4: Ошибка в orange","chromium","Sun Aug 10 14:34:39 CEST 2025","passed","Sun Aug 10 14:34:59 CEST 2025","Academy Bugs tests","academybugs.spec.js","",""
"","7696","БАГ #3: Изображение товара отображается неполностью","chromium","Sun Aug 10 14:35:59 CEST 2025","passed","Sun Aug 10 14:36:07 CEST 2025","Academy Bugs tests","academybugs.spec.js","",""
"","21115","БАГ #4: Альтернативные селекторы цвета","chromium","Sun Aug 10 12:20:39 CEST 2025","passed","Sun Aug 10 12:21:00 CEST 2025","","alternative-color.spec.js","",""
"","27129","БАГ #5: Неправильный расчет общей суммы в корзине","chromium","Sun Aug 10 14:34:59 CEST 2025","passed","Sun Aug 10 14:35:26 CEST 2025","Academy Bugs tests","academybugs.spec.js","",""
"","11425","БАГ #1: Twitter share button не работает","chromium","Sun Aug 10 14:35:26 CEST 2025","passed","Sun Aug 10 14:35:37 CEST 2025","Academy Bugs tests","academybugs.spec.js","",""
"","31242","БАГ #4: Орфографическая ошибка в orange (рабочая версия)","chromium","Sun Aug 10 12:25:51 CEST 2025","broken","Sun Aug 10 12:26:22 CEST 2025","","academybugs.spec.js","",""
"","18860","БАГ #4: Орфографическая ошибка в orange","chromium","Sun Aug 10 12:29:38 CEST 2025","passed","Sun Aug 10 12:29:57 CEST 2025","Academy Bugs tests","academybugs.spec.js","",""
"","21324","БАГ #2: Страница зависает при отправке комментария","chromium","Sun Aug 10 14:35:37 CEST 2025","passed","Sun Aug 10 14:35:59 CEST 2025","Academy Bugs tests","academybugs.spec.js","",""
"","31241","БАГ #4: Орфографическая ошибка в orange (полный codegen)","chromium","Sun Aug 10 12:25:51 CEST 2025","broken","Sun Aug 10 12:26:22 CEST 2025","","full-codegen.spec.js","",""
